trial_index,result_name,seed,selection_metric,acc,auc,f1,dataset,base_model,lr,weight_decay,dropout,batch_size,hidden_dim,n_layers_conv,global_pool,max_hop,classification_fusion_mode,classification_fusion_hidden_dim,relation_hidden_dim,relation_temperature,stance_route_temperature,stance_route_hard,lambda_edge_relation_aux,lambda_edge_relation_warmup,uncertainty_sample_temperature,uncertainty_keep_floor,uncertainty_sampling_warmup_epochs,use_degree_importance,degree_importance_strength,semantic_change_hidden_dim,use_node_keep_in_change_pool,vertical_path_attention_heads,vertical_path_attention_uncertainty_scale,vertical_path_attention_residual_gate,vertical_path_attention_dropout,classification_fusion_hidden_dim,dropout,lr,weight_decay,n_layers_conv,overrides
0,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0000_deg0p5_keep0p0,4,val_loss,0.8521594684385382,0.8522893245994512,0.8460207612456747,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.0,5,True,0.5,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 0.5, ""uncertainty_keep_floor"": 0.0}"
1,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0001_deg1p0_keep0p0,4,val_loss,0.8646179401993356,0.8633265468708506,0.8545941123996432,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.0,5,True,1.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 1.0, ""uncertainty_keep_floor"": 0.0}"
2,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0002_deg2p0_keep0p0,4,val_loss,0.8521594684385382,0.8499656988581039,0.8381818181818181,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.0,5,True,2.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 2.0, ""uncertainty_keep_floor"": 0.0}"
3,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0003_deg0p5_keep0p05,4,val_loss,0.8579734219269103,0.855918606709746,0.8449682683590208,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.05,5,True,0.5,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 0.5, ""uncertainty_keep_floor"": 0.05}"
4,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0004_deg1p0_keep0p05,4,val_loss,0.8504983388704319,0.8474705674072762,0.8333333333333334,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.05,5,True,1.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 1.0, ""uncertainty_keep_floor"": 0.05}"
5,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0005_deg2p0_keep0p05,4,val_loss,0.8571428571428571,0.8571191466761088,0.8506944444444444,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.05,5,True,2.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 2.0, ""uncertainty_keep_floor"": 0.05}"
6,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0006_deg0p5_keep0p1,4,val_loss,0.8612956810631229,0.8595810834734885,0.8496849684968497,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.1,5,True,0.5,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 0.5, ""uncertainty_keep_floor"": 0.1}"
7,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0007_deg1p0_keep0p1,4,val_loss,0.8413621262458472,0.8390169956625654,0.8258887876025525,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.1,5,True,1.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 1.0, ""uncertainty_keep_floor"": 0.1}"
8,sweep_drweibo_resgcn_uncertainty_semantic_change_routing_seed4_t0008_deg2p0_keep0p1,4,val_loss,0.8621262458471761,0.8626128618217226,0.8573883161512027,DRWeibo,ResGCN_UncertaintySemanticChange,0.0005,0.0001,0.3,128,128,2,mean,20,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.1,5,True,2.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,0.0001,2,"{""degree_importance_strength"": 2.0, ""uncertainty_keep_floor"": 0.1}"
